con,vol,dis,feed,OD
25,26,18,1,230.7
25,26,13,0.5,288.7
25,26,8,1.2,222.4
25,26,8,0.6,257.8
25,21,8,0.5,209.3
25,18.8,15,1,178.7
25,18.8,15,0.6,187.2
25,18.8,15,0.2,282.2
25,18.8,10,0.6,328.1
25,16,8,1,186.3
24,22.5,14,0.6,121
24,18.8,10,0.5,182.1
22,26,18,1.5,151.8
22,15,18,1.5,144.4
21,26,8,1.5,105
20.5,25,13,1,93.1
20.5,21,13,1.4,90.6
20.5,21,13,0.3,112
20.5,18,13,1,113.7
20.5,21,6,0.9,115
20.5,11,13,0.8,108.6
20,22.5,20,1,186
20,22.5,20,0.2,164.8
20,22.5,10,1,142.1
20,22.5,10,0.8,113.7
20,20,20,0.8,112.6
20,20,18,0.8,112.6
20,20,16,0.8,125.5
20,18.8,15,0.6,143.8
20,17.5,18,0.2,118
20,15,10,1,134.4
20,15,10,0.2,159.8
19,16,8,0.5,131.6
16,26,18,0.9,99.7
16,26,8,0.6,78.7
16,16,18,0.6,114.3
16,16,12,0.5,108.5
16,16,8,1.4,114.5
25,22.5,15,0.6,266.7
25,16,11,1.5,177.3
18,16,8,1.5,118.2
16,16,11,1.5,95
